filename,actual_label,predicted_label,confidence,video_length_s,inference_time_s,input_tokens,output_tokens
fall-01-cam0.mp4,FALL,FALL,0.95,5.33,4.441,1146,111
fall-02-cam0.mp4,FALL,FALL,0.95,3.67,3.864,1146,118
fall-03-cam0.mp4,FALL,FALL,0.95,7.17,3.388,1146,118
fall-04-cam0.mp4,FALL,FALL,0.95,3.2,3.899,1146,125
fall-05-cam0.mp4,FALL,FALL,0.95,5.03,4.182,1146,158
fall-06-cam0.mp4,FALL,FALL,0.95,3.33,3.655,1146,105
fall-07-cam0.mp4,FALL,FALL,0.95,5.2,6.816,1146,121
fall-08-cam0.mp4,FALL,FALL,0.95,3.03,3.4,1146,130
fall-09-cam0.mp4,FALL,FALL,0.95,6.17,3.434,1146,112
fall-10-cam0.mp4,FALL,FALL,0.95,4.33,3.973,1146,133
fall-11-cam0.mp4,FALL,FALL,0.95,4.33,3.664,1146,137
fall-12-cam0.mp4,FALL,FALL,0.95,3.67,3.764,1146,132
fall-13-cam0.mp4,FALL,FALL,0.95,2.83,4.277,1146,123
fall-14-cam0.mp4,FALL,FALL,0.95,2.03,4.073,1146,134
fall-15-cam0.mp4,FALL,FALL,0.95,2.37,4.071,1146,137
fall-16-cam0.mp4,FALL,FALL,0.95,1.83,8.681,1146,127
fall-17-cam0.mp4,FALL,FALL,0.95,3.17,3.75,1146,122
fall-18-cam0.mp4,FALL,FALL,0.95,2.17,4.397,1146,125
fall-19-cam0.mp4,FALL,FALL,0.95,3.33,3.353,1146,112
fall-20-cam0.mp4,FALL,FALL,0.95,3.67,3.6,1146,119
fall-21-cam0.mp4,FALL,FALL,0.92,1.83,5.241,1146,142
fall-22-cam0.mp4,FALL,FALL,0.95,1.87,4.927,1146,145
fall-23-cam0.mp4,FALL,FALL,0.95,2.5,3.644,1146,128
fall-24-cam0.mp4,FALL,FALL,0.95,2.0,3.618,1146,120
fall-25-cam0.mp4,FALL,FALL,0.95,2.83,3.433,1146,118
fall-26-cam0.mp4,FALL,FALL,0.95,2.03,3.847,1146,135
fall-27-cam0.mp4,FALL,FALL,0.95,3.07,3.661,1146,126
fall-28-cam0.mp4,FALL,FALL,0.95,2.2,6.125,1146,148
fall-29-cam0.mp4,FALL,FALL,0.95,3.3,3.564,1146,120
fall-30-cam0.mp4,FALL,FALL,0.95,2.33,3.864,1146,135
adl-01-cam0.mp4,NO_FALL,NO_FALL,0.92,5.0,4.323,1146,134
adl-02-cam0.mp4,NO_FALL,FALL,0.85,6.0,3.815,1146,105
adl-03-cam0.mp4,NO_FALL,FALL,0.92,6.0,5.096,1146,161
adl-04-cam0.mp4,NO_FALL,NO_FALL,0.92,5.0,5.46,1146,133
adl-05-cam0.mp4,NO_FALL,NO_FALL,0.95,6.0,4.114,1146,122
adl-06-cam0.mp4,NO_FALL,NO_FALL,0.92,7.67,3.764,1146,131
adl-07-cam0.mp4,NO_FALL,NO_FALL,0.95,6.0,4.255,1146,135
adl-08-cam0.mp4,NO_FALL,NO_FALL,0.95,6.0,4.904,1146,115
adl-09-cam0.mp4,NO_FALL,FALL,0.92,5.0,3.354,1146,123
adl-10-cam0.mp4,NO_FALL,NO_FALL,0.92,10.0,4.299,1146,115
adl-11-cam0.mp4,NO_FALL,FALL,0.95,10.0,3.85,1146,132
adl-12-cam0.mp4,NO_FALL,FALL,0.85,8.33,3.544,1146,122
adl-13-cam0.mp4,NO_FALL,FALL,0.92,8.83,4.383,1146,107
adl-14-cam0.mp4,NO_FALL,FALL,0.85,7.83,4.385,1146,121
adl-15-cam0.mp4,NO_FALL,FALL,0.85,9.17,3.868,1146,117
adl-16-cam0.mp4,NO_FALL,FALL,0.85,8.0,4.272,1146,126
adl-17-cam0.mp4,NO_FALL,FALL,0.92,7.67,4.233,1146,137
adl-18-cam0.mp4,NO_FALL,FALL,0.85,8.83,5.048,1146,135
adl-19-cam0.mp4,NO_FALL,NO_FALL,0.85,8.33,3.991,1146,118
adl-20-cam0.mp4,NO_FALL,NO_FALL,0.85,9.0,6.095,1146,125
adl-21-cam0.mp4,NO_FALL,FALL,0.85,9.33,4.889,1146,146
