filename,actual_label,predicted_label,confidence,video_length_s,inference_time_s,input_tokens,output_tokens
fall-01-cam0.mp4,FALL,FALL,0.95,5.33,4.448,2287,71
fall-02-cam0.mp4,FALL,FALL,0.95,3.67,5.01,2287,64
fall-03-cam0.mp4,FALL,FALL,0.95,7.17,3.374,2287,72
fall-04-cam0.mp4,FALL,FALL,0.95,3.2,4.436,2287,64
fall-05-cam0.mp4,FALL,FALL,0.95,5.03,5.51,2287,72
fall-06-cam0.mp4,FALL,FALL,0.95,3.33,4.684,2287,64
fall-07-cam0.mp4,FALL,FALL,0.95,5.2,3.704,2287,73
fall-08-cam0.mp4,FALL,FALL,0.95,3.03,4.257,2287,64
fall-09-cam0.mp4,FALL,FALL,0.95,6.17,3.646,2287,66
fall-10-cam0.mp4,FALL,FALL,0.95,4.33,3.256,2287,64
fall-11-cam0.mp4,FALL,FALL,0.95,4.33,3.151,2287,64
fall-12-cam0.mp4,FALL,FALL,0.95,3.67,3.049,2287,64
fall-13-cam0.mp4,FALL,FALL,0.95,2.83,5.507,2287,64
fall-14-cam0.mp4,FALL,FALL,0.95,2.03,3.05,2287,66
fall-15-cam0.mp4,FALL,FALL,0.95,2.37,3.868,2287,64
fall-16-cam0.mp4,FALL,FALL,0.95,1.83,3.638,2287,64
fall-17-cam0.mp4,FALL,FALL,0.95,3.17,3.204,2287,64
fall-18-cam0.mp4,FALL,FALL,0.95,2.17,3.738,2287,64
fall-19-cam0.mp4,FALL,FALL,0.95,3.33,3.155,2287,64
fall-20-cam0.mp4,FALL,FALL,0.95,3.67,3.406,2287,64
fall-21-cam0.mp4,FALL,FALL,0.95,1.83,3.372,2287,65
fall-22-cam0.mp4,FALL,FALL,0.95,1.87,5.643,2287,64
fall-23-cam0.mp4,FALL,FALL,0.95,2.5,2.947,2287,64
fall-24-cam0.mp4,FALL,FALL,0.95,2.0,3.469,2287,66
fall-25-cam0.mp4,FALL,FALL,0.95,2.83,3.243,2287,64
fall-26-cam0.mp4,FALL,FALL,0.95,2.03,3.088,2287,64
fall-27-cam0.mp4,FALL,FALL,0.95,3.07,3.529,2287,76
fall-28-cam0.mp4,FALL,FALL,0.95,2.2,3.66,2287,64
fall-29-cam0.mp4,FALL,FALL,0.95,3.3,3.3,2287,67
fall-30-cam0.mp4,FALL,FALL,0.95,2.33,3.307,2287,64
adl-01-cam0.mp4,NO_FALL,NO_FALL,0.85,5.0,4.891,2287,62
adl-02-cam0.mp4,NO_FALL,NO_FALL,0.9,6.0,3.253,2287,56
adl-03-cam0.mp4,NO_FALL,NO_FALL,0.9,6.0,2.947,2287,59
adl-04-cam0.mp4,NO_FALL,NO_FALL,0.95,5.0,4.051,2287,59
adl-05-cam0.mp4,NO_FALL,NO_FALL,0.95,6.0,3.981,2287,70
adl-06-cam0.mp4,NO_FALL,NO_FALL,0.95,7.67,3.357,2287,67
adl-07-cam0.mp4,NO_FALL,NO_FALL,0.95,6.0,3.93,2287,69
adl-08-cam0.mp4,NO_FALL,NO_FALL,0.95,6.0,3.498,2287,67
adl-09-cam0.mp4,NO_FALL,NO_FALL,0.95,5.0,3.655,2287,66
adl-10-cam0.mp4,NO_FALL,NO_FALL,0.9,10.0,3.09,2287,70
adl-11-cam0.mp4,NO_FALL,NO_FALL,0.9,10.0,3.309,2287,61
adl-12-cam0.mp4,NO_FALL,NO_FALL,0.9,8.33,3.062,2287,58
adl-13-cam0.mp4,NO_FALL,FALL,0.9,8.83,5.493,2287,84
adl-14-cam0.mp4,NO_FALL,NO_FALL,0.85,7.83,3.772,2287,65
adl-15-cam0.mp4,NO_FALL,NO_FALL,0.9,9.17,4.986,2287,61
adl-16-cam0.mp4,NO_FALL,NO_FALL,0.95,8.0,4.742,2287,67
adl-17-cam0.mp4,NO_FALL,NO_FALL,0.85,7.67,5.576,2287,60
adl-18-cam0.mp4,NO_FALL,NO_FALL,0.95,8.83,4.1,2287,69
adl-19-cam0.mp4,NO_FALL,NO_FALL,0.9,8.33,4.205,2287,66
adl-20-cam0.mp4,NO_FALL,NO_FALL,0.9,9.0,4.61,2287,64
adl-21-cam0.mp4,NO_FALL,NO_FALL,0.9,9.33,4.382,2287,61
adl-22-cam0.mp4,NO_FALL,FALL,0.9,8.0,5.002,2287,62
adl-23-cam0.mp4,NO_FALL,FALL,0.9,7.33,4.695,2287,66
adl-24-cam0.mp4,NO_FALL,NO_FALL,0.95,2.33,5.811,2287,67
adl-25-cam0.mp4,NO_FALL,NO_FALL,0.95,3.67,4.482,2287,63
adl-26-cam0.mp4,NO_FALL,NO_FALL,0.9,3.17,4.588,2287,71
adl-27-cam0.mp4,NO_FALL,NO_FALL,0.95,3.33,3.763,2287,63
adl-28-cam0.mp4,NO_FALL,NO_FALL,0.95,2.83,4.997,2287,70
adl-29-cam0.mp4,NO_FALL,NO_FALL,0.95,4.17,4.592,2287,67
adl-30-cam0.mp4,NO_FALL,FALL,0.95,13.33,4.533,2287,74
adl-31-cam0.mp4,NO_FALL,FALL,0.95,8.33,5.113,2287,66
adl-32-cam0.mp4,NO_FALL,FALL,0.95,6.67,4.845,2287,68
adl-33-cam0.mp4,NO_FALL,FALL,0.95,6.67,5.998,2287,69
adl-34-cam0.mp4,NO_FALL,FALL,0.95,6.37,4.179,2287,74
adl-35-cam0.mp4,NO_FALL,FALL,0.95,9.33,2.957,2287,64
adl-36-cam0.mp4,NO_FALL,NO_FALL,0.95,11.33,3.447,2287,68
adl-37-cam0.mp4,NO_FALL,NO_FALL,0.9,11.67,6.312,2287,68
adl-38-cam0.mp4,NO_FALL,FALL,0.95,11.5,4.613,2287,68
adl-39-cam0.mp4,NO_FALL,FALL,0.95,9.0,5.4,2287,70
adl-40-cam0.mp4,NO_FALL,FALL,0.95,11.0,3.972,2287,70
